om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
663931,2022,03,14,2022-03-14,16:41:00,3,TX,48,0,1.75,0,0,50000,0,33.0300,-96.5200,33.0300,-96.5200,0,0,0,0,0,85,0,0,0
663932,2022,03,14,2022-03-14,16:41:00,3,TX,48,0,1.25,0,0,0,0,33.0900,-96.5900,33.0900,-96.5900,0,0,0,0,0,85,0,0,0
663933,2022,03,14,2022-03-14,16:48:00,3,TX,48,0,1.00,0,0,0,0,33.2800,-96.7800,33.2800,-96.7800,0,0,0,0,0,85,0,0,0
663934,2022,03,14,2022-03-14,16:50:00,3,TX,48,0,1.00,0,0,0,0,32.9336,-96.6306,32.9336,-96.6306,0,0,0,0,0,113,0,0,0
663935,2022,03,14,2022-03-14,16:57:00,3,TX,48,0,1.25,0,0,0,0,33.1700,-96.4800,33.1700,-96.4800,0,0,0,0,0,85,0,0,0
663936,2022,03,14,2022-03-14,17:00:00,3,TX,48,0,1.50,0,0,0,0,33.1600,-96.5300,33.1600,-96.5300,0,0,0,0,0,85,0,0,0
663937,2022,03,14,2022-03-14,17:15:00,3,TX,48,0,1.25,0,0,0,0,32.3000,-96.5800,32.3000,-96.5800,0,0,0,0,0,139,0,0,0
663938,2022,03,14,2022-03-14,17:15:00,3,TX,48,0,1.50,0,0,0,0,31.7500,-95.6200,31.7500,-95.6200,0,0,0,0,0,1,0,0,0
663939,2022,03,14,2022-03-14,17:21:00,3,TX,48,0,1.00,0,0,0,0,32.9100,-96.4700,32.9100,-96.4700,0,0,0,0,0,397,0,0,0
663940,2022,03,14,2022-03-14,17:28:00,3,TX,48,0,1.75,0,0,10000,0,33.6700,-96.2400,33.6700,-96.2400,0,0,0,0,0,147,0,0,0
